setor,ano,emissao_mt
Agropecuaria,2000,437.0
Energia,2000,290.0
Mudanca de Uso da Terra e Floresta,2000,1679.0
Processos Industriais,2000,68.0
Residuos,2000,52.0
Agropecuaria,2001,454.0
Energia,2001,299.0
Mudanca de Uso da Terra e Floresta,2001,1733.0
Processos Industriais,2001,65.0
Residuos,2001,55.0
Agropecuaria,2002,467.0
Energia,2002,298.0
Mudanca de Uso da Terra e Floresta,2002,1836.0
Processos Industriais,2002,69.0
Residuos,2002,58.0
Agropecuaria,2003,497.0
Energia,2003,291.0
Mudanca de Uso da Terra e Floresta,2003,2412.0
Processos Industriais,2003,69.0
Residuos,2003,60.0
Agropecuaria,2004,517.0
Energia,2004,306.0
Mudanca de Uso da Terra e Floresta,2004,2299.0
Processos Industriais,2004,72.0
Residuos,2004,62.0
Agropecuaria,2005,518.0
Energia,2005,318.0
Mudanca de Uso da Terra e Floresta,2005,1896.0
Processos Industriais,2005,72.0
Residuos,2005,65.0
Agropecuaria,2006,517.0
Energia,2006,322.0
Mudanca de Uso da Terra e Floresta,2006,1523.0
Processos Industriais,2006,73.0
Residuos,2006,67.0
Agropecuaria,2007,502.0
Energia,2007,336.0
Mudanca de Uso da Terra e Floresta,2007,1264.0
Processos Industriais,2007,83.0
Residuos,2007,68.0
Agropecuaria,2008,511.0
Energia,2008,354.0
Mudanca de Uso da Terra e Floresta,2008,1245.0
Processos Industriais,2008,82.0
Residuos,2008,69.0
Agropecuaria,2009,517.0
Energia,2009,343.0
Mudanca de Uso da Terra e Floresta,2009,871.0
Processos Industriais,2009,72.0
Residuos,2009,70.0
Agropecuaria,2010,534.0
Energia,2010,375.0
Mudanca de Uso da Terra e Floresta,2010,814.0
Processos Industriais,2010,81.0
Residuos,2010,71.0
Agropecuaria,2011,538.0
Energia,2011,390.0
Mudanca de Uso da Terra e Floresta,2011,836.0
Processos Industriais,2011,88.0
Residuos,2011,73.0
Agropecuaria,2012,536.0
Energia,2012,422.0
Mudanca de Uso da Terra e Floresta,2012,887.0
Processos Industriais,2012,90.0
Residuos,2012,75.0
Agropecuaria,2013,542.0
Energia,2013,454.0
Mudanca de Uso da Terra e Floresta,2013,1023.0
Processos Industriais,2013,91.0
Residuos,2013,79.0
Agropecuaria,2014,546.0
Energia,2014,479.0
Mudanca de Uso da Terra e Floresta,2014,946.0
Processos Industriais,2014,89.0
Residuos,2014,82.0
Agropecuaria,2015,551.0
Energia,2015,455.0
Mudanca de Uso da Terra e Floresta,2015,1076.0
Processos Industriais,2015,89.0
Residuos,2015,86.0
Agropecuaria,2016,563.0
Energia,2016,423.0
Mudanca de Uso da Terra e Floresta,2016,1063.0
Processos Industriais,2016,88.0
Residuos,2016,88.0
Agropecuaria,2017,561.0
Energia,2017,430.0
Mudanca de Uso da Terra e Floresta,2017,938.0
Processos Industriais,2017,88.0
Residuos,2017,89.0
Agropecuaria,2018,560.0
Energia,2018,409.0
Mudanca de Uso da Terra e Floresta,2018,957.0
Processos Industriais,2018,89.0
Residuos,2018,91.0
Agropecuaria,2019,562.0
Energia,2019,412.0
Mudanca de Uso da Terra e Floresta,2019,1353.0
Processos Industriais,2019,87.0
Residuos,2019,93.0
Agropecuaria,2020,576.0
Energia,2020,391.0
Mudanca de Uso da Terra e Floresta,2020,1332.0
Processos Industriais,2020,87.0
Residuos,2020,93.0
Agropecuaria,2021,597.0
Energia,2021,437.0
Mudanca de Uso da Terra e Floresta,2021,1454.0
Processos Industriais,2021,96.0
Residuos,2021,94.0
Agropecuaria,2022,617.0
Energia,2022,416.0
Mudanca de Uso da Terra e Floresta,2022,1522.0
Processos Industriais,2022,91.0
Residuos,2022,92.0
Agropecuaria,2023,631.0
Energia,2023,420.0
Mudanca de Uso da Terra e Floresta,2023,1341.0
Processos Industriais,2023,92.0
Residuos,2023,92.0
